"","gene","B.males.tpm","B.females.tpm","nonB.males.tpm","nonB.females.tpm","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale"
"1","g1207",0,0,0,0,"scaffold_2293",95,NA,NA,NA,"N",4891,"B1",0.3195591,NA,NA,NA,NA,NA
"2","g1208",8.22571428571429,6.5,0.117142857142857,0,"scaffold_2293",283,"FAS_CHICK","A0A2J7PFW7",NA,"Y",4891,"B1",0.3195591,1,0,1,1,0
"3","g12159",0.00571428571428571,0,0,0,"scaffold_1269",1076,NA,"A0A226CTZ9",NA,"Y",17142,"B1",1.907414,NA,NA,NA,NA,NA
"4","g12160",0.0157142857142857,0.005,0,0,"scaffold_1269",1038,NA,"A0A226DDY8","hAT family C-terminal dimerisation region","Y",17142,"B1",1.907414,NA,NA,NA,NA,NA
"5","g12161",0,0,0,0,"scaffold_1269",369,NA,NA,NA,"N",17142,"B1",1.907414,NA,NA,NA,NA,NA
"6","g12831",0.0271428571428571,0,0,0,"scaffold_1551",1012,NA,NA,NA,"N",12209,"B1",1.812824,NA,NA,NA,NA,NA
"7","g12832",0.0242857142857143,0.045,0,0,"scaffold_1551",1098,NA,NA,NA,"N",12209,"B1",1.812824,NA,NA,NA,NA,NA
"8","g12833",0.00857142857142857,0.02,0.00142857142857143,0,"scaffold_1551",2674,NA,NA,NA,"N",12209,"B1",1.812824,NA,NA,NA,NA,NA
"9","g12981",0.0842857142857143,0,0.02,0,"scaffold_1594",641,NA,NA,NA,"N",11639,"B1",1.188368,NA,NA,NA,NA,NA
"10","g13785",0.03,0.0316666666666667,0,0,"scaffold_1694",304,NA,NA,NA,"N",10246,"B1",0.5601071,NA,NA,NA,NA,NA
"11","g13953",2.07142857142857,0.01,0.0971428571428572,0,"scaffold_2040",1483,"EP300_HUMAN","A0A3B3RK67","Histone acetylation protein","Y",6888,"B1",1.200703,1,1,1,0,0
"12","g15850",0,0,0,0,"scaffold_1514",908,NA,NA,NA,"N",12816,"B1",1.734395,NA,NA,NA,NA,NA
"13","g15851",0.00142857142857143,0.005,0,0,"scaffold_1514",2339,NA,"J9K4F9",NA,"Y",12816,"B1",1.734395,NA,NA,NA,NA,NA
"14","g16323",0,0,0,0,"scaffold_1148",725,"KIF23_HUMAN","K7J331","Kinesin motor domain","Y",19549,"B1",1.88146,NA,NA,NA,NA,NA
"15","g16324",0,0,0,0,"scaffold_1148",797,"KIF23_HUMAN","K7J331","Kinesin motor domain","Y",19549,"B1",1.88146,NA,NA,NA,NA,NA
"16","g16455",0.581428571428571,3.12666666666667,0.597142857142857,5.46166666666667,"scaffold_1425",3374,"PAIN_DROME","A0A482WJY3","Ion transport protein,Ankyrin repeats (3 copies)","Y",14282,"B1",0.5548723,0,0,0,0,0
"17","g16456",0,0.0533333333333333,0.00857142857142857,0.146666666666667,"scaffold_1425",788,NA,"A0A2P8Z590","Ion transport protein","Y",14282,"B1",0.5548723,0,0,0,0,0
"18","g17661",2.86,1.91166666666667,0,0,"scaffold_1508",267,NA,"A0A482VIA6",NA,"Y",12965,"B1",0.4357473,0,0,0,0,0
"19","g17662",10.0785714285714,7.11666666666667,0,0,"scaffold_1508",1823,"SUCB2_COLLI","R4G3Z4","ATP-grasp domain","Y",12965,"B1",0.4357473,0,0,0,0,0
"20","g17663",0.0385714285714286,0,0.0142857142857143,0,"scaffold_1508",847,NA,NA,NA,"N",12965,"B1",0.4357473,NA,NA,NA,NA,NA
"21","g17664",13.2571428571429,12.975,13.46,14.2383333333333,"scaffold_1508",1238,"RM38_MOUSE","A0A067QJE0","Phosphatidylethanolamine-binding protein","Y",12965,"B1",0.4357473,0,0,0,0,0
"22","g17665",0.135714285714286,0.211666666666667,0.0457142857142857,0.0183333333333333,"scaffold_1508",205,NA,NA,NA,"N",12965,"B1",0.4357473,NA,NA,NA,NA,NA
"23","g18149",0.0128571428571429,0.025,0,0,"scaffold_1646",1622,NA,NA,NA,"N",10988,"B1",1.781894,NA,NA,NA,NA,NA
"24","g19061",0,0,0,0,"scaffold_902",1061,NA,"K7JWY9","Reverse transcriptase (RNA-dependent DNA polymerase)","Y",30666,"B1",1.82721634578886,NA,NA,NA,NA,NA
"25","g19188",0,0,0,0,"scaffold_1124",285,NA,NA,NA,"N",20190,"B1",1.711547,NA,NA,NA,NA,NA
"26","g19189",0.0442857142857143,0.02,0.00285714285714286,0,"scaffold_1124",2414,NA,NA,NA,"N",20190,"B1",1.711547,0,0,0,0,0
"27","g19190",0.00571428571428571,0.00666666666666667,0,0,"scaffold_1124",1792,NA,NA,NA,"N",20190,"B1",1.711547,NA,NA,NA,NA,NA
"28","g20083",0,0,0,0,"scaffold_552",563,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
