"","gene","B.males.tpm","B.females.tpm","nonB.males.tpm","nonB.females.tpm","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale"
"1","g11594",0,0.085,0.0757142857142857,0.181666666666667,"scaffold_2240",257,NA,NA,NA,"N",5214,"B3",-2.903519,NA,NA,NA,NA,NA
"2","g12541",0.202857142857143,0.0116666666666667,0.0585714285714286,0.0183333333333333,"scaffold_2066",1166,"RDX_DROME","A0A484BP37","BTB/POZ domain","Y",6652,"B3",-1.025073,0,1,1,0,0
"3","g12794",0,0,0,0,"scaffold_1418",1169,"GAGXE_DROME","A0A194RK46","Associated with zinc fingers","Y",14434,"B3",-0.4446804,NA,NA,NA,NA,NA
"4","g12795",0.00714285714285714,0,0.0142857142857143,0.00666666666666667,"scaffold_1418",854,"RTJK_DROFU","A0A2A4K918","Endonuclease-reverse transcriptase","Y",14434,"B3",-0.4446804,NA,NA,NA,NA,NA
"5","g12796",0,0,0,0,"scaffold_1418",311,NA,NA,NA,"N",14434,"B3",-0.4446804,NA,NA,NA,NA,NA
"6","g12806",1.54714285714286,2.23833333333333,1.64857142857143,1.39166666666667,"scaffold_684",303,NA,NA,"Nuclear factor I protein pre-N-terminus","Y",90004,"B3",-0.439049978825968,0,0,0,0,0
"7","g1287",0,0,0,0,"scaffold_1558",404,NA,NA,NA,"N",12124,"B3",-1.915437,NA,NA,NA,NA,NA
"8","g13474",0,0.00833333333333333,0,0,"scaffold_1138",1034,NA,NA,NA,"N",19871,"B3",-1.086886,NA,NA,NA,NA,NA
"9","g13475",0.211428571428571,0,0,0,"scaffold_1138",209,NA,NA,NA,"N",19871,"B3",-1.086886,NA,NA,NA,NA,NA
"10","g13476",0.0614285714285714,0.055,0.00285714285714286,0.0483333333333333,"scaffold_1138",719,NA,NA,NA,"N",19871,"B3",-1.086886,0,0,0,0,0
"11","g13477",0.707142857142857,1.325,0,0,"scaffold_1138",1018,NA,NA,NA,"N",19871,"B3",-1.086886,0,0,0,0,0
"12","g13786",0.0128571428571429,0.005,0,0,"scaffold_1441",2064,NA,"J9LQI2","THAP domain","Y",13933,"B3",-2.233075,NA,NA,NA,NA,NA
"13","g13952",4.35571428571429,4.21,0.485714285714286,0.085,"scaffold_2280",356,NA,NA,NA,"N",4993,"B3",-1.497362,0,0,0,0,0
"14","g14825",0.708571428571429,0.325,0.378571428571429,1.135,"scaffold_2003",553,NA,NA,"Hsp70 protein","Y",7190,"B3",-0.7443716,0,0,0,0,0
"15","g14826",0.05,0.0416666666666667,0.00571428571428571,0.0616666666666667,"scaffold_2003",1097,"HSP7E_DROME","T1PA42","Hsp70 protein","Y",7190,"B3",-0.7443716,0,0,0,0,0
"16","g15185",0.02,0.0166666666666667,0.0571428571428571,0,"scaffold_1270",402,NA,NA,"Trehalase","Y",17116,"B3",-0.1691235,NA,NA,NA,NA,NA
"17","g15233",0.0142857142857143,0.176666666666667,0,0,"scaffold_1166",1067,NA,NA,"BTB/POZ domain","Y",19126,"B3",-1.417438,0,0,0,0,0
"18","g15234",0.0357142857142857,0.161666666666667,0.0371428571428571,0.215,"scaffold_1166",2716,NA,NA,"BTB And C-terminal Kelch,BTB/POZ domain","Y",19126,"B3",-1.417438,0,0,0,0,0
"19","g15381",0.0828571428571429,0,0,0,"scaffold_744",209,NA,NA,NA,"N",64720,"B3",-0.149651639609346,NA,NA,NA,NA,NA
"20","g15382",0,0.0216666666666667,0,0,"scaffold_744",362,NA,NA,NA,"N",64720,"B3",-0.149651639609346,NA,NA,NA,NA,NA
"21","g15524",0.151428571428571,0.405,0,0,"scaffold_1202",1355,"GAGXE_DROME","J9LYS0","Associated with zinc fingers","Y",18321,"B3",-1.547978,0,0,0,0,0
"22","g15525",0.284285714285714,0.661666666666667,0,0.1,"scaffold_1202",404,"RTJK_DROFU","A0A1D2M8H9","Endonuclease-reverse transcriptase","Y",18321,"B3",-1.547978,0,0,0,0,0
"23","g15526",0.475714285714286,0.253333333333333,0,0.626666666666667,"scaffold_1202",404,NA,NA,NA,"N",18321,"B3",-1.547978,0,0,0,0,0
"24","g15527",7.32285714285714,2.51833333333333,0.0685714285714286,0,"scaffold_1202",446,NA,NA,NA,"N",18321,"B3",-1.547978,1,0,1,1,0
"25","g15528",0.12,0.02,0.0742857142857143,0.0116666666666667,"scaffold_1202",1265,NA,"A0A1M6JF78","Phosphatidylinositol-specific phospholipase C, X domain","Y",18321,"B3",-1.547978,0,0,0,0,0
"26","g1595",0,0.0483333333333333,0,0,"scaffold_1845",321,"SULF1_DROME","A0A482X3I3","Sulfatase","Y",8684,"B3",-0.8371984,NA,NA,NA,NA,NA
"27","g16020",0,0,0,0,"scaffold_772",340,NA,NA,NA,"N",52531,"B3",-3.04346565407315,NA,NA,NA,NA,NA
"28","g16457",3.12285714285714,5.92333333333333,0.712857142857143,4.47,"scaffold_1494",1508,NA,NA,NA,"N",13181,"B3",-2.962799,0,0,0,0,0
"29","g17313",0.322857142857143,0.235,0,0,"scaffold_1287",313,NA,NA,NA,"N",16872,"B3",-2.889169,NA,NA,NA,NA,NA
