"","seq","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer","gene","gene_len","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"1566","scaffold_1330",16017,"B2",0.3300829,"B.loose","A","A","g22793",330,NA,NA,NA,NA,NA,NA,NA,"N"
"1567","scaffold_1330",16017,"B2",0.3300829,"B.loose","A","A","g22792",103,NA,NA,NA,NA,NA,NA,NA,"N"
"2436","scaffold_1637",11086,"B2",0.08185333,"B.loose","A","A","g18895",224,NA,NA,NA,NA,NA,NA,NA,"N"
"3759","scaffold_2062",6708,"B2",0.2535727,"B.loose","A","A","g12685",847,NA,NA,NA,NA,NA,NA,NA,"N"
"4957","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17787",700,NA,NA,NA,NA,NA,NA,NA,"N"
"4958","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17791",1933,NA,"A0A0R3Q549",NA,NA,NA,NA,NA,"Y"
"4959","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17807",1413,NA,NA,NA,NA,NA,NA,NA,"N"
"4960","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17804",391,"LSM4_HUMAN","D6WJA0","PF01423","LSM domain","IPR001163","LSM domain, eukaryotic/archaea-type",NA,"Y"
"4961","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17802",433,"CNI_DROME","A0A482X1C0","PF03311","Cornichon protein","IPR003377","Cornichon","GO:0016192","Y"
"4962","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17788",1377,NA,NA,NA,NA,NA,NA,NA,"N"
"4963","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17796",779,NA,NA,NA,NA,NA,NA,NA,"N"
"4964","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17810",196,NA,NA,NA,NA,NA,NA,NA,"N"
"4965","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17795",629,NA,NA,NA,NA,NA,NA,NA,"N"
"4966","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17792",1241,NA,"A0A0R3Q943",NA,NA,NA,NA,NA,"Y"
"4967","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17811",244,NA,NA,NA,NA,NA,NA,NA,"N"
"4968","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17813",1666,"ARHGC_MOUSE","A0A151JPR7","PF00621;PF17838","RhoGEF domain; PH domain","IPR000219;IPR041020","Dbl homology (DH) domain; ARHGEF1-like, PH domain","GO:0005089;GO:0035023","Y"
"4969","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17789",467,NA,NA,"PF13920","Zinc finger, C3HC4 type (RING finger)",NA,NA,NA,"Y"
"4970","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17794",247,NA,NA,NA,NA,NA,NA,NA,"N"
"4971","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17814",215,NA,NA,NA,NA,NA,NA,NA,"N"
"4972","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17803",2832,"MCM4_DROME","A0A067R0Z3","PF00493;PF17207;PF17855;PF14551","MCM P-loop domain; MCM OB domain; MCM AAA-lid domain; MCM N-terminal domain","IPR001208;IPR033762;IPR041562;IPR027925","MCM domain; MCM OB domain; MCM, AAA-lid domain; MCM N-terminal domain","GO:0003677;GO:0005524;GO:0006270","Y"
"4973","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17815",509,NA,NA,NA,NA,NA,NA,NA,"N"
"4974","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17799",318,NA,NA,NA,NA,NA,NA,NA,"N"
"4975","scaffold_295",464503,"B2",0.445260673936596,"B.loose","A","A","g17801",4870,"DYH7_HUMAN","A0A482WYZ6","PF12777;PF18198;PF03028;PF00104;PF18199;PF12781;PF00105","Microtubule-binding stalk of dynein motor; Dynein heavy chain AAA lid domain; Dynein heavy chain region D6 P-loop domain; Ligand-binding domain of nuclear hormone receptor; Dynein heavy chain C-terminal domain; ATP-binding dynein motor region; Zinc finger, C4 type (two domains)","IPR024743;IPR041658;IPR004273;IPR000536;IPR041228;IPR035706;IPR001628","Dynein heavy chain, coiled coil stalk; Dynein heavy chain AAA lid domain; Dynein heavy chain region D6 P-loop domain; Nuclear hormone receptor, ligand-binding domain; Dynein heavy chain, C-terminal domain; Dynein heavy chain, ATP-binding dynein motor region; Zinc finger, nuclear hormone receptor-type","GO:0003777;GO:0007018;GO:0030286;GO:0003700;GO:0005634;GO:0006355;GO:0008270;GO:0043565","Y"
