ctg1	A0A139WBH2	22.3	8842	4271	224	1405099	1428642	10914	18146	0.0e+00	1270.0
ctg1	A0A139WBH2	45.5	246	127	4	1319700	1320431	3604	3844	1.0e-59	249.6
ctg1	A0A139WBH2	39.5	258	143	6	1428716	1429462	17438	17691	2.2e-49	215.3
ctg1	A0A139WBH2	45.4	216	89	1	1403922	1404569	10533	10719	4.1e-48	211.1
ctg1	A0A139WBH2	26.8	594	326	23	1411762	1413396	10852	11385	4.0e-35	167.9
ctg2	D7GXP0	44.6	1305	613	14	1513080	1516805	135	1392	0.0e+00	1110.5
ctg3	A0A2J7RGI4	80.8	694	124	3	456108	458165	1	693	5.1e-229	811.2
ctg3	A0A2J7RGI4	60.1	541	205	7	458218	459819	688	1224	2.8e-166	602.8
ctg4	U4TT33	78.4	338	73	0	1165435	1166448	5	342	4.4e-153	559.3
ctg5	A0A0J7K7H4	43.2	1043	549	16	602862	599749	3	1007	2.3e-244	862.1
ctg6	J9JYX1	49.6	665	318	7	418732	420717	374	1024	5.3e-182	654.8
ctg6	J9JYX1	27.5	1608	874	48	418259	422533	206	1704	6.9e-97	372.1
ctg7	A0A444TRE3	53.2	387	180	1	551530	552690	7	392	8.2e-114	428.3
ctg8	T1HFD8	61.5	312	120	0	1004659	1003724	5	316	6.6e-108	408.7
ctg9	A0A0J7K7B2	51.6	739	349	7	90379	92586	5	737	2.0e-210	749.2
ctg9	A0A0J7K7B2	44.6	271	135	5	92550	93323	718	986	4.5e-56	236.5
ctg10	A0A067RP81	40.8	1584	287	29	306718	311451	90	1028	5.8e-250	880.6
ctg10	A0A067RP81	35.9	985	206	21	309881	312832	737	1297	3.7e-111	419.5
ctg10	A0A067RP81	56.2	272	45	4	312489	313304	1207	1404	4.7e-66	269.6
ctg10	A0A067RP81	63.3	98	34	1	316417	316710	1521	1616	3.4e-24	130.6
ctg10	A0A067RP81	86.7	75	10	0	306413	306637	15	89	3.4e-24	130.6
ctg11	A0A067QJA9	35.4	2246	806	63	1074039	1067383	62	1689	1.4e-272	956.8
ctg11	A0A067QJA9	24.9	2473	1079	78	1073183	1065990	262	2031	8.0e-98	376.3
ctg12	A0A2J7R1J4	66.6	587	195	1	1148092	1149849	29	615	1.4e-218	776.5
ctg12	A0A2J7R1J4	60.6	155	60	1	1150374	1150838	611	764	1.7e-38	178.3
ctg13	J9KJ72	31.4	1347	779	29	575026	571034	14	1231	2.9e-184	662.5
ctg14	A0A0N0PAG9	33.2	1399	845	29	612961	608882	170	1517	4.2e-189	678.3
ctg15	A0A195FSV0	80.2	460	91	0	632407	631028	32	491	3.7e-222	788.1
ctg16	J9JZG8	45.3	1297	302	31	1532427	1536278	1284	2186	5.1e-198	709.1
ctg16	J9JZG8	49.5	422	147	15	1560742	1561950	3677	4051	3.1e-25	135.2
ctg17	A0A151IQ66	47.6	1318	631	17	747997	751854	30	1319	0.0e+00	1142.9
ctg18	A0A2B4REU9	38.0	1138	618	20	980027	983317	19	1110	6.8e-198	708.0
ctg18	A0A2B4REU9	27.7	376	249	11	534991	533891	604	965	1.9e-27	141.7
ctg19	K7JEA7	32.7	550	337	11	72805	74430	783	1307	7.6e-67	271.9
ctg20	J9L709	39.3	1033	533	15	355297	358317	279	1243	2.7e-201	719.5
ctg20	J9L709	23.9	729	493	21	991417	989273	360	1040	1.2e-42	192.6
ctg20	J9L709	35.3	221	136	4	354435	355079	7	226	9.0e-27	139.8
ctg21	X1WN86	32.1	1779	1086	37	96547	91373	9	1719	5.4e-238	840.9
ctg21	X1WN86	29.1	1249	756	32	596219	592662	512	1693	1.4e-124	464.2
ctg23	T1I1C7	65.9	455	154	1	322348	320984	3	456	1.3e-163	593.6
ctg22	E0VGR2	58.8	907	238	12	1083904	1086294	508	1388	2.0e-276	968.8
ctg22	E0VGR2	59.1	252	93	5	1082747	1083475	121	371	1.2e-68	278.5
ctg22	E0VGR2	72.8	162	41	1	1092452	1092937	2711	2869	8.5e-54	229.2
ctg22	E0VGR2	45.7	394	163	12	1090536	1091687	2107	2459	2.6e-50	217.6
ctg24	A0A482WR54	47.3	676	285	11	133231	135225	22	637	7.7e-93	358.2
ctg25	D6WWU6	31.4	1300	706	45	14400	10777	38	1243	8.1e-145	530.8
ctg26	E0VWQ5	69.0	445	134	1	1820770	1822104	277	717	4.2e-191	685.6
ctg27	A0A0J7K7H4	43.9	1044	542	16	201697	204813	3	1007	6.3e-245	863.6
ctg28	A0A226D417	34.9	1617	970	32	330713	335389	115	1706	5.8e-237	838.2
